NUMBER OF OBSERVATIONS							
540							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
31	1	1961	4.389826658	0.419355	-9999	70.665	0
28	2	1961	2.826724967	0.542857	-9999	67.605	0
31	3	1961	0.108698088	1.103226	-9999	59.25	0
30	4	1961	3.662676172	1.273333	-9999	55.072381	0
31	5	1961	1.302092588	2.6	-9999	54.118095	0
30	6	1961	0.992436702	2.69	-9999	49.261429	0
31	7	1961	1.54611208	2.722581	-9999	45.057273	0
31	8	1961	0.717801059	2.480645	-9999	42.109286	0
30	9	1961	2.978286538	1.496667	-9999	40.05	0
31	10	1961	3.102879062	1.283871	-9999	38.515	0
30	11	1961	1.96322929	0.533333	-9999	37.629	0
31	12	1961	4.005303267	0.354839	-9999	42.094118	0
31	1	1962	3.963857285	0.480645	-9999	58.15	0
28	2	1962	0.758059084	0.689286	-9999	56.381429	0
31	3	1962	1.495398401	0.974194	-9999	50.61	0
30	4	1962	2.025258348	1.796667	-9999	47.795714	0
31	5	1962	1.406431831	2.164516	-9999	46.484286	0
30	6	1962	0.347405526	2.916667	-9999	44.44	0
31	7	1962	1.54244708	2.532258	-9999	42.174545	0
31	8	1962	3.378868571	2.425806	-9999	40.253636	0
30	9	1962	4.094388149	1.656667	-9999	39.115	0
31	10	1962	2.118021071	0.970968	-9999	39.26	0
30	11	1962	2.568302796	0.526667	-9999	42.08	0
31	12	1962	1.37165176	0.325806	-9999	46.098571	0
31	1	1963	0.715147592	0.270968	-9999	46.757143	0
28	2	1963	2.211203814	0.435714	-9999	45.45	0
31	3	1963	4.184399458	1.025806	-9999	64.904286	0
30	4	1963	3.881693211	1.496667	-9999	66.54	0
31	5	1963	1.568010612	2.554839	-9999	57.497143	0
30	6	1963	2.363447377	2.656667	-9999	51.455714	0
31	7	1963	1.407611655	2.474194	-9999	46.824286	0
31	8	1963	2.834743452	2.396774	-9999	42.79	0
30	9	1963	2.70602676	1.53	-9999	41.641429	0
31	10	1963	2.376395006	0.787097	-9999	41.497143	0
30	11	1963	5.910511676	0.78	-9999	69.03	0
31	12	1963	1.127859313	0.290323	-9999	58.9325	0
31	1	1964	0.726914043	0.203226	-9999	51.495714	0
29	2	1964	1.132791913	0.42069	-9999	47.88	0
31	3	1964	4.320497346	0.909677	-9999	64.957143	0
30	4	1964	2.847334895	1.62	-9999	58.117143	0
31	5	1964	2.964763589	2.567742	-9999	55.35	0
30	6	1964	3.027364399	2.53	-9999	51.1525	0
31	7	1964	0.838859633	2.583871	-9999	47.681429	0
31	8	1964	1.24351114	2.329032	-9999	44.698571	0
30	9	1964	0.82631547	1.99	-9999	43.28	0
31	10	1964	2.000143965	0.906452	-9999	39.9	0
30	11	1964	2.533350695	0.42	-9999	38.4	0
31	12	1964	2.326781086	0.351613	-9999	38.247143	0
31	1	1965	3.267297918	0.380645	-9999	45.003571	0
28	2	1965	0.526990274	0.475	-9999	47.112857	0
31	3	1965	2.777141057	1.029032	-9999	47.159091	0
30	4	1965	1.128001382	1.74	-9999	48.906667	0
31	5	1965	1.731690082	2.487097	-9999	46.048182	0
30	6	1965	2.565996842	2.283333	-9999	43.673636	0
31	7	1965	2.759215064	2.112903	-9999	41.97	0
31	8	1965	2.399812791	2.154839	-9999	41.04	0
30	9	1965	3.901433895	1.42	-9999	42.753333	0
31	10	1965	0.46605801	1.051613	-9999	43.627143	0
30	11	1965	4.067906138	0.653333	-9999	45.207143	0
31	12	1965	4.993312633	0.36129	-9999	72.2175	0
31	1	1966	1.84808686	0.329032	-9999	62.537143	0
28	2	1966	4.676045247	0.55	-9999	70.194286	0
31	3	1966	0.812766071	1.090323	-9999	62.148571	0
30	4	1966	4.288853842	1.303333	-9999	66.02	0
31	5	1966	2.048258109	2.480645	-9999	59.123636	0
30	6	1966	2.790783922	3.076667	-9999	51.666364	0
31	7	1966	2.718093684	2.719355	-9999	46.215	0
31	8	1966	3.17875856	2.303226	-9999	45.38	0
30	9	1966	0.905361562	1.873333	-9999	43.748	0
31	10	1966	4.838956421	1.109677	-9999	49.278571	0
30	11	1966	2.103909807	0.613333	-9999	51.648571	0
31	12	1966	2.759685614	0.435484	-9999	53.15	0
31	1	1967	2.849373195	0.309677	-9999	56.693571	0
28	2	1967	2.800409557	0.685714	-9999	62.42	0
31	3	1967	1.851513933	1.341935	-9999	63.597143	0
30	4	1967	1.798514007	2.023333	-9999	54.895455	0
31	5	1967	3.881652714	2.719355	-9999	49.610909	0
30	6	1967	1.347292331	2.803333	-9999	47.869091	0
31	7	1967	1.106864265	3.016129	-9999	45.505	0
31	8	1967	2.353629184	2.512903	-9999	42.5	0
30	9	1967	3.198716086	1.893333	-9999	40.14	0
31	10	1967	4.369655581	1.432258	-9999	43.265714	0
30	11	1967	2.409323383	0.563333	-9999	52.758571	0
31	12	1967	2.516388456	0.351613	-9999	56.145	0
31	1	1968	2.645304746	0.46129	-9999	61.154286	0
29	2	1968	1.715793018	0.617241	-9999	54.948571	0
31	3	1968	0.856320604	1.341935	-9999	50.632857	0
30	4	1968	2.945998188	1.74	-9999	46.37	0
31	5	1968	3.014698624	2.341935	-9999	42.275714	0
30	6	1968	3.629847197	2.673333	-9999	46.172857	0
31	7	1968	2.145601853	2.619355	-9999	48.148571	0
31	8	1968	1.582226225	2.235484	-9999	46.28	0
30	9	1968	6.245187721	1.87	-9999	61.915	0
31	10	1968	3.230796358	1.006452	-9999	60.828333	0
30	11	1968	1.410363196	0.476667	-9999	61.015	0
31	12	1968	3.090834693	0.329032	-9999	59.3125	0
31	1	1969	3.829500657	0.396774	-9999	70.416667	0
28	2	1969	1.736223356	0.517857	-9999	63.884615	0
31	3	1969	2.762765373	0.909677	-9999	64.428571	0
30	4	1969	1.197701541	1.976667	-9999	53.571429	0
31	5	1969	3.216671205	2.380645	-9999	48.4	0
30	6	1969	0.82833677	3.33	-9999	45.214286	0
31	7	1969	1.871142476	3.051613	-9999	43.735714	0
31	8	1969	1.932300397	2.574194	-9999	40.628571	0
30	9	1969	0.561533579	1.616667	-9999	38.692857	0
31	10	1969	0.1122212	0.977419	-9999	37.757143	0
30	11	1969	4.246330808	0.81	-9999	36.471429	0
31	12	1969	2.825861701	0.364516	-9999	36.402857	0
31	1	1970	4.469785132	0.270968	-9999	50.14	0
28	2	1970	2.983704546	0.785714	-9999	56.9	0
31	3	1970	1.574602859	1.080645	-9999	58.04	0
30	4	1970	2.19858486	1.603333	-9999	50.614286	0
31	5	1970	1.018228813	2.619355	-9999	48.434286	0
30	6	1970	1.080277047	3.486667	-9999	48.39	0
31	7	1970	2.058079274	2.896774	-9999	42.151429	0
31	8	1970	2.091457601	2.503226	-9999	38.961429	0
30	9	1970	2.934514823	1.943333	-9999	37.794286	0
31	10	1970	0.926433575	1.164516	-9999	36.48	0
30	11	1970	8.685622494	0.813333	-9999	55.417143	0
31	12	1970	0.934440085	0.364516	-9999	54.83	0
31	1	1971	3.398847832	0.454839	-9999	65.895714	0
28	2	1971	1.250470667	0.603571	-9999	60.772857	0
31	3	1971	2.441757216	1.106452	-9999	57.94	0
30	4	1971	2.111960145	1.716667	-9999	52.172857	0
31	5	1971	1.400748695	2.706452	-9999	47.941111	0
30	6	1971	4.103272767	2.683333	-9999	45.488571	0
31	7	1971	0.903006643	3.070968	-9999	44.1	0
31	8	1971	2.160374837	2.458065	-9999	41.802857	0
30	9	1971	0.159391413	1.903333	-9999	39.61	0
31	10	1971	1.667385299	1.183871	-9999	37.805714	0
30	11	1971	2.704988935	0.65	-9999	36.365714	0
31	12	1971	0.913569197	0.335484	-9999	36.4	0
31	1	1972	3.403114669	0.367742	-9999	41.974286	0
29	2	1972	3.404746463	0.472414	-9999	60.217143	0
31	3	1972	2.109377175	1.43871	-9999	58.158571	0
30	4	1972	2.334556947	2.32	-9999	51.107143	0
31	5	1972	1.975866844	2.73871	-9999	48.045714	0
30	6	1972	1.464086263	2.433333	-9999	45.114286	0
31	7	1972	1.228943659	2.741935	-9999	42.618571	0
31	8	1972	0.537443239	2.612903	-9999	40.325714	0
30	9	1972	1.207957669	1.703333	-9999	38.3	0
31	10	1972	0.813333156	1.122581	-9999	36.64	0
30	11	1972	3.408939379	0.606667	-9999	35.308571	0
31	12	1972	3.181259092	0.387097	-9999	42.924286	0
31	1	1973	1.327667922	0.296774	-9999	41.63	0
28	2	1973	0.952899663	0.507143	-9999	41.974286	0
31	3	1973	0.696394854	0.929032	-9999	43.85	0
30	4	1973	1.708875248	1.786667	-9999	42.751429	0
31	5	1973	2.564764026	2.545161	-9999	40.83	0
30	6	1973	1.823898724	3.08	-9999	41.31	0
31	7	1973	2.236947636	2.522581	-9999	38.96	0
31	8	1973	1.116898593	2.9	-9999	38.29125	0
30	9	1973	2.694008901	2.253333	-9999	36.87	0
31	10	1973	1.494316557	0.912903	-9999	35.515	0
30	11	1973	1.130152693	0.6	-9999	34.78	0
31	12	1973	1.92897737	0.348387	-9999	33.46	0
31	1	1974	3.913591279	0.470968	-9999	45.65375	0
28	2	1974	4.20364049	0.621429	-9999	65.331429	0
31	3	1974	0.887116501	1	-9999	53.978571	0
30	4	1974	0.392513604	2.09	-9999	48.734286	0
31	5	1974	1.390747686	2.906452	-9999	43.025714	0
30	6	1974	2.681908446	3.033333	-9999	41.722857	0
31	7	1974	1.516068042	2.983871	-9999	40.08	0
31	8	1974	2.897857441	2.535484	-9999	38.278462	0
30	9	1974	7.305085945	1.943333	-9999	46.597143	0
31	10	1974	2.161803897	1.058065	-9999	50.978571	0
30	11	1974	6.449567247	0.593333	-9999	75.65	0
31	12	1974	1.962442044	0.567742	-9999	61.952857	0
31	1	1975	4.323259763	0.551613	-9999	70.76	0
28	2	1975	1.158159626	0.467857	-9999	64.127143	0
31	3	1975	3.649065252	0.935484	-9999	58.9	0
30	4	1975	2.263212469	1.633333	-9999	60.044286	0
31	5	1975	1.387177473	2.567742	-9999	54.44	0
30	6	1975	0.255892487	4.006667	-9999	47.875714	0
31	7	1975	0.769333706	3.216129	-9999	43.711667	0
31	8	1975	1.9338826	3.080645	-9999	40.77	0
30	9	1975	5.691429678	2.026667	-9999	39.345714	0
31	10	1975	0.948632757	0.922581	-9999	37.714286	0
30	11	1975	2.497628247	0.513333	-9999	37.808571	0
31	12	1975	1.248253843	0.225806	-9999	37.931429	0
31	1	1976	0.59228601	0.535484	-9999	38.53	0
29	2	1976	1.40937448	0.358621	-9999	38.64	0
31	3	1976	0.680712223	1.070968	-9999	38.211429	0
30	4	1976	0.251386144	1.916667	-9999	37.88	0
31	5	1976	0.589834364	2.951613	-9999	37.48	0
30	6	1976	0.489656544	3.543333	-9999	36.281429	0
31	7	1976	0.549751344	4.070968	-9999	34.95	0
31	8	1976	0.250586019	3.625806	-9999	33.602857	0
30	9	1976	5.395277666	1.763333	-9999	33.83	0
31	10	1976	6.467116307	1	-9999	38.941429	0
30	11	1976	5.437326013	0.48	-9999	56.74	0
31	12	1976	2.989407626	0.296774	-9999	65.53	0
31	1	1977	3.243690994	0.374194	-9999	65.0875	0
28	2	1977	4.30008698	0.671429	-9999	70.1775	0
31	3	1977	2.720886693	1.129032	-9999	61.235714	0
30	4	1977	1.192658413	1.923333	-9999	59.33	0
31	5	1977	1.610183601	3.280645	-9999	50.468571	0
30	6	1977	1.775690571	2.356667	-9999	47.1475	0
31	7	1977	0.921696058	3.351613	-9999	44.261429	0
31	8	1977	3.709204479	2.177419	-9999	40.83	0
30	9	1977	1.262503255	1.576667	-9999	39.223077	0
31	10	1977	1.735035323	1.23871	-9999	38.28	0
30	11	1977	3.197432552	0.946667	-9999	38.536	0
31	12	1977	4.27073533	0.464516	-9999	51.897143	0
31	1	1978	3.363366922	0.535484	-9999	61.9	0
28	2	1978	2.573292153	0.642857	-9999	60.25	0
31	3	1978	2.8701033	1.158065	-9999	58.85	0
30	4	1978	2.094062994	1.713333	-9999	57.771429	0
31	5	1978	1.497119376	2.735484	-9999	54.237143	0
30	6	1978	1.505934012	2.913333	-9999	48.98	0
31	7	1978	2.3906963	2.593548	-9999	44.47	0
31	8	1978	1.60835543	2.474194	-9999	41.424286	0
30	9	1978	0.711098555	2.046667	-9999	39.241667	0
31	10	1978	0.310967533	1.112903	-9999	37.525	0
30	11	1978	0.606111983	0.693333	-9999	36.194286	0
31	12	1978	5.935801508	0.496774	-9999	37.06	0
31	1	1979	3.456785433	0.367742	-9999	45.385714	0
28	2	1979	2.706586183	0.592857	-9999	57.571429	0
31	3	1979	3.359364286	1.154839	-9999	59.022857	0
30	4	1979	2.480743468	1.803333	-9999	59.956	0
31	5	1979	3.620181091	2.509677	-9999	52.132857	0
30	6	1979	1.403861767	2.336667	-9999	49.518	0
31	7	1979	1.573866827	3.051613	-9999	45.875	0
31	8	1979	2.45399111	2.409677	-9999	42.753333	0
30	9	1979	1.096493234	1.843333	-9999	40.412857	0
31	10	1979	3.052827443	1.132258	-9999	38.757143	0
30	11	1979	2.857629277	0.586667	-9999	40.791429	0
31	12	1979	4.322915494	0.577419	-9999	60.085714	0
31	1	1980	1.815936289	0.377419	-9999	56.998571	0
29	2	1980	3.271189146	0.555172	-9999	61.86	0
31	3	1980	3.127943195	1.048387	-9999	58.908571	0
30	4	1980	0.450770167	2.1	-9999	57.595	0
31	5	1980	1.00357559	3.151613	-9999	49.74	0
30	6	1980	4.300630932	2.76	-9999	45.132	0
31	7	1980	2.554169061	2.677419	-9999	42.276667	0
31	8	1980	2.50980286	2.445161	-9999	41	0
30	9	1980	2.39584976	1.91	-9999	40.34	0
31	10	1980	3.809706708	1.164516	-9999	44.06	0
30	11	1980	1.874036758	0.683333	-9999	54.491429	0
31	12	1980	1.784810641	0.435484	-9999	54.875	0
31	1	1981	1.38617579	0.474194	-9999	51.214	0
28	2	1981	1.792040099	0.507143	-9999	49.3	0
31	3	1981	5.897670943	1.080645	-9999	68.73	0
30	4	1981	1.432008009	1.823333	-9999	60.8	0
